Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_LP,LP_F1000,LP_F10000
4FGL J0001.2+4741 ,bcu  ,47.6859,1.4067559e-12,1.2159239e-10,-14.338059,114.2502,1.893531e-14,2.2337143,-0.008456561,0.6666667,3.3885543e-05,1.9271533e-14,2.212329,1.9206343e-14,2.2221549,31560000.0,2514.9417,0.3126,PowerLaw         ,1.4453652103120083e-12,1.2066165913613817e-10,7.335831046822736e-12
4FGL J0001.2-0747 ,bll  ,-7.7971,9.171432e-12,8.2320506e-10,-67.30501,89.03272,3.5833494e-13,2.0718932,0.04876986,0.6666667,0.001001274,3.5504648e-13,1.9449391,3.3465656e-13,2.1049428,31560000.0,1612.6141,0.3151,PowerLaw         ,8.292859040498566e-12,8.590807816419603e-10,5.259155833627779e-11
4FGL J0001.5+2113 ,fsrq ,21.2183,2.6142106e-11,1.3590526e-09,-40.167652,107.64935,4.532746e-11,2.5481505,0.15877607,0.6666667,0.009049197,4.387551e-11,2.2009296,3.9051106e-11,2.659308,31560000.0,355.78442,0.3815,LogParabola      ,2.6144204166529174e-11,1.358998840359038e-09,5.79740140529409e-12
4FGL J0001.6-4156 ,bcu  ,-41.9425,3.9125105e-12,3.0486913e-10,-72.02855,334.22635,2.3474046e-14,1.6675872,0.06975478,0.6666667,0.00050784374,2.2536538e-14,1.5633279,2.0757042e-14,1.7558894,31560000.0,4009.3838,0.4165,PowerLaw         ,3.681336058415569e-12,3.147504470585012e-10,5.173360480755556e-11
4FGL J0002.1-6728 ,bcu  ,-67.4746,2.888272e-12,2.4168523e-10,-48.963467,310.08493,2.3711413e-14,1.6778738,0.16372891,0.6666667,0.0017496648,2.2562415e-14,1.3356626,1.8744873e-14,1.846469,31560000.0,3689.1895,0.5378,PowerLaw         ,2.396746221599448e-12,2.548891588000011e-10,3.0614976276755215e-11
4FGL J0002.3-0815 ,bcu  ,-8.2652,1.3097837e-12,1.1693464e-10,-67.84833,89.04345,9.510118e-15,1.9282347,0.15012589,0.6666667,0.0012198334,8.778299e-15,1.6707319,7.564005e-15,1.9895958,31560000.0,3959.9126,0.5937,PowerLaw         ,1.0290037210257274e-12,1.2541346774294005e-10,1.0017493613272577e-11
4FGL J0002.4-5156 ,bcu  ,-51.9355,8.839152e-13,7.621813e-11,-63.539017,319.99948,6.36572e-15,1.3496544,0.6414554,0.6666667,0.0054652826,5.696219e-15,0.38595793,3.954719e-15,1.897161,31560000.0,4530.31,0.6131,PowerLaw         ,5.453302521709603e-13,6.155121227726869e-11,7.6324775234317e-12
4FGL J0003.1-5248 ,bcu  ,-52.8071,3.701321e-12,3.1529795e-10,-62.788944,318.9899,2.5519082e-14,1.810078,0.05651087,0.6666667,0.0006892622,2.5426721e-14,1.6413232,2.3296884e-14,1.8750632,31560000.0,3772.3918,0.7817,PowerLaw         ,3.3954700116374827e-12,3.217415182736092e-10,4.040982786483087e-11
4FGL J0003.2+2207 ,bll  ,22.1302,1.5547366e-12,1.3514474e-10,-39.380795,108.438545,2.4485845e-14,0.7698703,0.99968916,0.6666667,0.011001482,2.7240888e-14,7.3854135e-05,2.0326285e-14,2.210459,31560000.0,2572.9114,0.8058,PowerLaw         ,6.721429106390468e-13,1.055968719818887e-10,4.473572167519396e-12
4FGL J0003.3-1928 ,bcu  ,-19.4676,2.9884508e-12,4.0164658e-10,-76.580986,65.197784,6.135522e-13,2.0584412,0.24640359,0.6666667,0.009419617,6.052635e-13,1.3642532,4.970213e-13,2.2775729,31560000.0,953.7989,0.8465,LogParabola      ,2.9889140848528572e-12,4.0160928531767814e-10,5.188417080912929e-12
