Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_PLEC,PLEC_F1000,PLEC_F10000
4FGL J0002.8+6217 ,PSR  ,62.2905,1.772054e-11,2.5453861e-09,-0.051036116,117.32041,1.9700764e-12,2.3173692,0.44354206,0.6666667,0.013249383,1.931218e-12,1.115103,1.3926129e-12,2.4565814,31560000.0,1361.6934,0.7201,PLSuperExpCutoff ,3.480385396246349e-12,4.997984776226085e-10,9.357269763422437e-13
4FGL J0007.0+7303 ,PSR  ,73.0512,4.2970577e-10,6.662928e-08,10.46168,119.66263,3.5982307e-11,1.8553023,0.2808079,0.5659473,0.020462736,3.4777688e-11,1.0683751,2.5782591e-11,2.0276394,31560000.0,1472.99,1.768,PLSuperExpCutoff ,1.206224195998689e-10,1.869880958097282e-08,3.952179605984168e-10
4FGL J0023.4+0920 ,PSR  ,9.3475,7.552931e-12,1.2196342e-09,-52.896538,111.42019,1.8263984e-12,1.885574,0.4628027,0.6666667,0.015050402,1.7574453e-12,0.8434018,1.2896352e-12,2.2666276,31560000.0,972.79254,5.8513,PLSuperExpCutoff ,1.72368145269957e-12,2.7826952703283437e-10,4.484333340499705e-13
4FGL J0030.4+0451 ,PSR  ,4.8592,5.950211e-11,1.0042197e-08,-57.6126,113.13404,1.5346772e-11,1.7822301,0.43905497,0.6666667,0.01442661,1.4648872e-11,0.7914668,1.068125e-11,2.0833719,31560000.0,929.79175,7.6107,PLSuperExpCutoff ,1.5056812137668867e-11,2.5405716554618547e-09,5.702190540070509e-12
4FGL J0034.3-0534 ,PSR  ,-5.5809,2.0708501e-11,2.7084632e-09,-68.07345,111.5037,7.140433e-12,1.9895703,0.23326264,0.6666667,0.008063282,6.8145324e-12,1.4976068,5.746983e-12,2.2081563,31560000.0,732.13995,8.5961,PLSuperExpCutoff ,1.0758354083784376e-11,1.4067796459196616e-09,9.245029844177324e-12
4FGL J0101.1-6422 ,PSR  ,-64.3683,1.2872772e-11,2.0585713e-09,-52.72691,301.18915,3.419075e-12,1.8125057,0.40240517,0.6666667,0.012693039,3.2420724e-12,0.9735408,2.505821e-12,2.1639647,31560000.0,897.70087,15.2997,PLSuperExpCutoff ,3.9513799674993694e-12,6.317489059940939e-10,1.9165794852327537e-12
4FGL J0102.8+4839 ,PSR  ,48.6591,1.5123076e-11,2.196683e-09,-14.169549,124.87597,1.463576e-12,2.0015755,0.26372576,0.6666667,0.0066473484,1.4106906e-12,1.379326,1.1250732e-12,2.185403,31560000.0,1361.6791,15.7137,PLSuperExpCutoff ,6.68398993649407e-12,9.706885512432258e-10,1.4096073465429323e-11
4FGL J0106.4+4855 ,PSR  ,48.9269,1.9466973e-11,3.503753e-09,-13.870953,125.46872,1.7782709e-12,1.758646,0.45942262,0.6666667,0.011059564,1.7120215e-12,0.6886291,1.249285e-12,2.1033342,31560000.0,1558.8627,16.6094,PLSuperExpCutoff ,4.4015838578471374e-12,7.920887547785003e-10,7.546552883079881e-12
4FGL J0205.7+6449 ,PSR  ,64.8239,6.652404e-11,5.9924568e-09,3.082402,130.72845,1.1346612e-11,2.4255862,0.1535437,0.6666667,0.0053172475,1.1074857e-11,2.0242822,9.609359e-12,2.4730215,31560000.0,934.43555,31.4273,PLSuperExpCutoff ,4.002239731516273e-11,3.604585143568603e-09,2.5349447409932603e-11
4FGL J0218.1+4232 ,PSR  ,42.5459,4.8050758e-11,5.114442e-09,-17.517557,139.51102,1.2682882e-11,2.2444932,0.17976129,0.6666667,0.006544329,1.24072315e-11,1.8072412,1.0677747e-11,2.360417,31560000.0,802.2448,34.5344,PLSuperExpCutoff ,2.731274388007858e-11,2.9065349637047046e-09,1.9079389042181177e-11
